"","means_control","means_uc","fold_change","hmr","mar"
"HMR_5632",0,0.16032182123158,0.0205206753418889,"HMR_5632","MAR05632"
"HMR_5647",0,0.0980090602489174,0.0133482836339683,"HMR_5647","MAR05647"
"HMR_5649",0,0.00206193128851096,0.00230447204061141,"HMR_5649","MAR05649"
"HMR_5650",0,0.000343655214751826,0.00210669314478015,"HMR_5650","MAR05650"
"HMR_5657",12.4457829666821,0.000343655214751826,-1.43044145816642,"HMR_5657","MAR05657"
"HMR_5662",0,0.0178396099347696,0.00412053170011111,"HMR_5662","MAR05662"
"HMR_5664",0.00353964871194381,0.0013746208590073,0.00181793595686651,"HMR_5664","MAR05664"
"HMR_5665",0.00353964871194381,0.00206193128851096,0.00189704751519901,"HMR_5665","MAR05665"
"HMR_5666",12.4422433179701,0,-1.43007358942017,"HMR_5666","MAR05666"
"HMR_5672",0,0.00171827607375913,0.00226491626144516,"HMR_5672","MAR05672"
"HMR_5907",0,0.00855864123144086,0.00305226346870108,"HMR_5907","MAR05907"
"HMR_5955",0,0.00229058002319184,0.00233079021786419,"HMR_5955","MAR05955"
"HMR_5994",0.00362551281650601,0.00279084305032552,0.00197106429140891,"HMR_5994","MAR05994"
"HMR_5995",0,0.00035210217961734,0.00210766541658777,"HMR_5995","MAR05995"
"HMR_5996",0,0.000253349243579561,0.0020962986479131,"HMR_5996","MAR05996"
"HMR_5997",0.0119070982508999,0.0111487490585388,0.00197984902574219,"HMR_5997","MAR05997"
"HMR_6051",0.000681224416904972,0.000973169898289189,0.00210074119437744,"HMR_6051","MAR06051"
"HMR_6055",0.00840494152769515,0.00163052003494875,0.00128738047835204,"HMR_6055","MAR06055"
"HMR_6060",-0.163766370023419,-0.162777431485154,0.0021809672530983,"HMR_6060","MAR06060"
"HMR_6095",-0.000193348946135831,-0.000172649534136118,0.00206951993201995,"HMR_6095","MAR06095"
"HMR_6096",0.00840494152769515,0.00163052003494875,0.00128738047835204,"HMR_6096","MAR06096"
"HMR_6103",0,-0.000214655571509546,0.00204242984476464,"HMR_6103","MAR06103"
"HMR_6250",-0.00012567681498829,-0.000136044636566713,0.00206594399725169,"HMR_6250","MAR06250"
"HMR_6353",0,1.29379424697369,0.150986860748298,"HMR_6353","MAR06353"
"HMR_6356",0.045539610249094,0.0384929267938758,0.00125604228355501,"HMR_6356","MAR06356"
"HMR_6357",0,5.03291343122923,0.581371055079584,"HMR_6357","MAR06357"
"HMR_6359",0.121812862604258,0.0950432518065669,-0.00101412771527448,"HMR_6359","MAR06359"
"HMR_6360",0.0665318505418561,0.0989690582172495,0.00580076039387003,"HMR_6360","MAR06360"
