"","means_1","means_2","means_3","hmr","mar"
"HMR_5657",0.0011148499880138,0,8.88731665569297,"HMR_5657","MAR05657"
"HMR_5662",0.012221080971436,0.00199416828841905,0.0707605862397289,"HMR_5662","MAR05662"
"HMR_5664",0,0.0039883365768381,0.00252832050853129,"HMR_5664","MAR05664"
"HMR_5665",0,0.0039883365768381,0.00758496152559388,"HMR_5665","MAR05665"
"HMR_5666",0,0,8.88731665569297,"HMR_5666","MAR05666"
"HMR_5672",0.0011148499880138,0.00199416828841905,0.00252832050853129,"HMR_5672","MAR05672"
"HMR_5907",0.0001587932655959,0.0245371507734935,2.77015724322516e-05,"HMR_5907","MAR05907"
"HMR_5955",0.00371542901399621,0,0,"HMR_5955","MAR05955"
"HMR_5994",0.00316298117716199,0.0022506613666823,0.00306886993439859,"HMR_5994","MAR05994"
"HMR_5995",0.000305450477944159,0.000475223074679773,0,"HMR_5995","MAR05995"
"HMR_5996",0.000128512434979474,0.0003097005499773,0.000495718781664575,"HMR_5996","MAR05996"
"HMR_5997",0.0112141168684118,0.0110447827714436,0.011657566143436,"HMR_5997","MAR05997"
"HMR_6051",0.000962693829561963,0.000915644838248713,0.000958020982701588,"HMR_6051","MAR06051"
"HMR_6055",0.00396839336813658,0,0,"HMR_6055","MAR06055"
"HMR_6060",-0.163428927479708,-0.161497926575848,-0.163773275342924,"HMR_6060","MAR06060"
"HMR_6095",-0.000182610011648402,-0.000155223801827357,-0.00018644362663098,"HMR_6095","MAR06095"
"HMR_6096",0.00396839336813658,0,0,"HMR_6096","MAR06096"
"HMR_6103",-0.000348181478196586,0,0,"HMR_6103","MAR06103"
"HMR_6250",-0.000147594060773409,-0.000117098657518884,-0.00012429575108732,"HMR_6250","MAR06250"
"HMR_6353",2.09859539272898,0,0,"HMR_6353","MAR06353"
"HMR_6356",0.0437346222458554,0.0288039162397999,0.0443200016525314,"HMR_6356","MAR06356"
"HMR_6357",8.16362336089151,0,0,"HMR_6357","MAR06357"
"HMR_6359",0.0949085856813959,0.101643563677145,0.0980387043436918,"HMR_6359","MAR06359"
"HMR_6360",0.0918053601972886,0.104796469212752,0.0935154623010541,"HMR_6360","MAR06360"
"HMR_6361",0.464934096013249,0.474103670157915,0.465836337382099,"HMR_6361","MAR06361"
"HMR_6366",-0.0218105267910743,-0.0259071205962072,-0.0287465707594513,"HMR_6366","MAR06366"
"HMR_6377",0.0144308469638017,0,0,"HMR_6377","MAR06377"
