"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
ENST00000461606.1	ENSG00000242067.1	RPL9P28
ENST00000584963.1	ENSG00000264907.1	PRELID3BP3
ENST00000579375.1	ENSG00000266707.1	PSMD7P1
ENST00000571784.1	ENSG00000262384.1	proteasome
ENST00000512222.2	ENSG00000250826.2	HNRNPA3P13
ENST00000510247.1	ENSG00000249305.1	pseudogene
ENST00000473622.1	ENSG00000243154.1	SYPL1P1
ENST00000515076.1	ENSG00000213480.3	novel
ENST00000487023.2	ENSG00000243514.2	RPL32P33
ENST00000582031.1	ENSG00000265883.1	Up-regulated
ENST00000514461.1	ENSG00000250442.1	EIF3KP3
ENST00000424978.2	ENSG00000227265.2	GXYLT1P7
ENST00000463499.1	ENSG00000240167.1	RPS7P7
ENST00000517578.1	ENSG00000253463.1	HMGB1P19
ENST00000522981.1	ENSG00000254253.1	NACAP10
ENST00000513251.1	ENSG00000251395.1	FTH1P9
ENST00000510973.1	ENSG00000251400.1	ALDH7A1P1
ENST00000398171.3	ENSG00000214354.3	PAFAH1B1P1
ENST00000420113.1	ENSG00000237549.1	RPS6P3
ENST00000398059.3	ENSG00000228209.1	PNPP1
ENST00000549314.1	ENSG00000257231.1	DYNLL1P4
ENST00000505659.1	ENSG00000250862.1	HMGB1P29
ENST00000514947.1	ENSG00000250080.1	RNA
ENST00000426107.1	ENSG00000232144.1	PSAT1P2
ENST00000395315.2	ENSG00000237887.1	RPL23AP32
ENST00000498752.1	ENSG00000243721.1	RPL23AP63
ENST00000513445.2	ENSG00000251155.2	SEPTIN14P4
ENST00000510773.1	ENSG00000251228.1	ubiquinol-cytochrome
ENST00000518241.1	ENSG00000213873.4	PPIAP86
ENST00000518682.1	ENSG00000253651.1	SOD1P3
ENST00000517589.1	ENSG00000253124.1	TRAPPC2P2
ENST00000520175.1	ENSG00000254112.1	ATP
ENST00000507497.2	ENSG00000248838.2	PGAM1P13
ENST00000403318.1	ENSG00000219722.1	RPL26P20
ENST00000407630.1	ENSG00000220598.1	SSR1P1
ENST00000565906.2	ENSG00000261549.2	capping
ENST00000400072.3	ENSG00000215223.3	CYP51A1P3
ENST00000407465.1	ENSG00000217824.1	SNRPEP6
ENST00000418412.3	ENSG00000214904.5	DUTP8
ENST00000512969.1	ENSG00000251492.1	eukaryotic
ENST00000434012.2	ENSG00000225665.4	SAR1AP3
ENST00000556576.1	ENSG00000258540.1	destrin
ENST00000474162.1	ENSG00000213891.3	RPL3P6
ENST00000508172.3	ENSG00000250482.3	DUX4L51
ENST00000504623.1	ENSG00000249795.1	spermidine/spermine
ENST00000506559.2	ENSG00000251284.2	speckle-type
ENST00000478876.1	ENSG00000241045.1	RPL7P43
ENST00000412769.1	ENSG00000235105.1	amyotrophic
ENST00000420457.1	ENSG00000232882.1	PHKA1P1
ENST00000441182.1	ENSG00000224466.1	CDCA4P2
ENST00000479709.1	ENSG00000243353.1	RPS29P19
ENST00000475768.1	ENSG00000244259.1	ribosomal
ENST00000575892.1	ENSG00000263343.1	filamin
ENST00000571486.1	ENSG00000262366.1	NDUFA3P6
ENST00000529418.1	ENSG00000254890.1	CD47
ENST00000481866.2	ENSG00000239207.2	GAPDHP39
ENST00000525638.1	ENSG00000254482.1	chaperonin
ENST00000528393.1	ENSG00000254471.1	origin
ENST00000478870.1	ENSG00000239600.1	ribosomal
ENST00000514835.1	ENSG00000248282.1	MTCYBP44
ENST00000513465.1	ENSG00000124399.4	NDUFB4P12
ENST00000512059.2	ENSG00000248847.2	coiled-coil
ENST00000431248.1	ENSG00000236281.1	NDUFB9P2
ENST00000421078.1	ENSG00000213237.4	PTMAP10
ENST00000414613.1	ENSG00000237522.1	NONOP2
ENST00000469016.1	ENSG00000242915.1	SNRPGP7
ENST00000431142.1	ENSG00000233205.1	WBP1P2
ENST00000603846.1	ENSG00000270488.1	ribosomal
ENST00000529409.1	ENSG00000254424.1	Ribosome
ENST00000576282.1	ENSG00000263199.1	myosin,
ENST00000521269.1	ENSG00000253994.1	NDUFB9P3
ENST00000454884.2	ENSG00000231349.2	ribosomal
ENST00000519620.1	ENSG00000213003.3	BTF3P12
ENST00000447549.1	ENSG00000232277.1	SLC30A6P1
ENST00000604736.1	ENSG00000270677.1	guanine
ENST00000547831.1	ENSG00000257915.1	GLULP5
ENST00000511420.2	ENSG00000249829.2	ubiquinol-cytochrome
ENST00000512074.1	ENSG00000251066.1	PDGFA
ENST00000505876.1	ENSG00000250574.1	sulfiredoxin
ENST00000581517.1	ENSG00000265469.1	POLR3KP2
ENST00000503549.1	ENSG00000249380.1	UBX
ENST00000511085.1	ENSG00000250347.1	mitochondrial
ENST00000439400.1	ENSG00000229369.1	density-regulated
ENST00000395082.2	ENSG00000213590.2	ribosomal
ENST00000459730.1	ENSG00000242041.1	RPL35AP28
ENST00000518897.1	ENSG00000253318.1	TMCC1P1
ENST00000564941.1	ENSG00000261554.1	vomeronasal
ENST00000510579.2	ENSG00000249555.2	TMEM248P1
ENST00000481577.1	ENSG00000239344.1	ribosomal
ENST00000522049.1	ENSG00000253544.1	C1GALT1P3
ENST00000511286.1	ENSG00000249607.1	transient
ENST00000507235.1	ENSG00000215325.4	ASS1P10
ENST00000509592.1	ENSG00000249363.1	transient
ENST00000564330.1	ENSG00000260882.1	novel
ENST00000560358.2	ENSG00000259394.2	Y
ENST00000562625.1	ENSG00000260036.1	thioesterase
ENST00000509046.2	ENSG00000251135.2	serum
ENST00000494700.1	ENSG00000244061.1	ribosomal
ENST00000604782.1	ENSG00000271101.1	SERPINE1
ENST00000506046.1	ENSG00000249774.1	translocase
ENST00000512403.2	ENSG00000249416.2	ribosomal
ENST00000445475.1	ENSG00000229013.1	GTPase
ENST00000509673.2	ENSG00000248877.2	PGBD4P4
ENST00000509466.2	ENSG00000249531.2	UDP
ENST00000513630.1	ENSG00000225455.3	TPI1P4
ENST00000565115.2	ENSG00000260431.2	C11orf2
ENST00000513396.1	ENSG00000250834.1	KRT18P54
ENST00000506637.2	ENSG00000232327.4	zinc
ENST00000570238.2	ENSG00000260817.2	ribosomal
ENST00000470389.1	ENSG00000242278.1	RPS3AP48
ENST00000588011.1	ENSG00000267182.1	SNRPCP20
ENST00000564888.2	ENSG00000261007.2	NPM1P3
ENST00000603755.1	ENSG00000270440.1	F-box
ENST00000567192.1	ENSG00000259963.1	ring
ENST00000495947.1	ENSG00000240419.1	ribosomal
ENST00000431536.1	ENSG00000232672.1	ACTG1P21
ENST00000444067.2	ENSG00000235613.2	NSRP1P1
ENST00000428836.2	ENSG00000237478.2	pseudogene
ENST00000405916.2	ENSG00000217783.2	LDHAL6FP
ENST00000478778.1	ENSG00000239528.1	RPS14P8
ENST00000511047.2	ENSG00000251648.2	PRAME
